Code,R,G,B
P01,241,241,241
P02,224,222,169
P03,236,216,0
P04,237,97,32
P05,191,46,64
P06,221,102,155
P07,96,64,137
P08,43,63,135
P09,51,112,192
P10,28,117,62
P100,249,126,121
P101,122,174,162
p102,132,183,145
P103,202,192,51
P104,215,168,162
P105,119,123,129
P11,86,186,159
P12,81,57,49
P17,138,141,145
P18,46,47,50
P20,140,55,44
P21,129,93,52
P33,238,186,178
P35,188,147,113
P38,242,42,123
P47,220,224,2
P48,255,119,0
P49,1,158,67
P50,255,57,145
P52,83,144,209
P53,118,200,130
P54,138,114,193
P56,254,248,117
P57,241,170,12
P58,147,200,212
P59,255,56,81
P60,162,75,156
P61,108,190,19
P62,43,137,198
P63,255,130,133
P70,100,124,190
P75,190,198,150
P79,246,179,221
P80,79,173,66
P81,177,181,178
P179,53,83,67
P82,173,152,212
P83,228,72,146
P85,187,118,52
P88,165,48,97
P90,212,132,55
P91,6,124,129
P92,77,81,86
P93,130,151,217
P96,128,50,69
P97,189,218,1
P98,228,182,144
